SINGULAR      PLURAL       
---------------------------
string        strings      
truss         trusses      
bus           buses        
city          cities       
lunch         lunches      
box           boxes        
puppy         puppies      
rizz          rizzes       
ash           ashes        
ray           rays         
loss          losses       
brush         brushes      
toy           toys         
cat           cats         
fan           fans         
chair         chairs       
